exp,report,exp_id,compute_fair,checkpoint,params_m,enc_depth,dec_depth,loss,perplexity,fid,fid_n,scene_desc,tok_rgb,tok_depth,tok_normal,throughput,peak_gpu_mb,grad_norm
alibi_swiglu_v1,report.log,alibi_swiglu_v1/report.log,False,final,122.44,6,6,3.457374,31.7335,39.1228,5000,0.288134,5.746693,3.982292,3.812376,120046,16983.0,1.0325
alibi_swiglu_v1,report_cf.log,alibi_swiglu_v1/report_cf.log,True,step-30519,122.44,6,6,3.486594,32.6745,37.7159,5000,0.288576,5.744893,4.025368,3.887541,113124,16983.0,0.9645
alibi_v1,report.log,alibi_v1/report.log,True,final,109.86,6,6,3.496763,33.0084,42.0836,5000,0.283079,5.73357,4.022498,3.947904,107332,16883.0,1.1015
baseline_v1,report.log,baseline_v1/report.log,True,final,109.86,6,6,3.49857,33.0681,47.2028,5000,0.279601,5.798024,4.041777,3.874879,74993,16859.2,0.9915
deepnorm_depth12_v1,report.log,deepnorm_depth12_v1/report.log,False,final,153.92,12,12,3.448132,31.4416,39.4738,5000,0.277526,5.716601,3.972295,3.826104,93360,17224.3,1.047
deepnorm_depth12_v1,report_cf.log,deepnorm_depth12_v1/report_cf.log,True,step-22889,153.92,12,12,3.598741,36.5522,47.6561,5000,0.291279,5.913108,4.175486,4.015091,94500,17224.3,0.7886
deepnorm_depth16_v1,report.log,deepnorm_depth16_v1/report.log,False,final,183.29,16,16,3.419245,30.5463,49.5167,5000,0.273607,5.687391,3.913873,3.802108,73105,17452.5,0.9895
deepnorm_depth16_v1,report_cf.log,deepnorm_depth16_v1/report_cf.log,True,step-22889,183.29,16,16,3.593014,36.3434,63.8952,5000,0.283519,5.873971,4.169859,4.044706,80599,17452.5,0.8005
deepnorm_swiglu_depth16_v1,report.log,deepnorm_swiglu_depth16_v1/report.log,False,final,216.85,16,16,3.316333,27.5591,32.4171,5000,0.273954,5.572431,3.800027,3.61892,71515,17719.5,0.9059
deepnorm_swiglu_depth16_v1,report_cf.log,deepnorm_swiglu_depth16_v1/report_cf.log,True,step-15259,216.85,16,16,3.647939,38.3954,51.4039,5000,0.29479,5.945964,4.233122,4.117878,53657,17719.5,0.744
depth12,report.log,depth12/report.log,False,final,153.92,12,12,3.457324,31.732,50.8462,5000,0.289416,5.720904,3.972146,3.846831,58156,17200.5,
depth12,report_cf.log,depth12/report_cf.log,True,step-30519,153.92,12,12,3.506271,33.3238,51.4542,5000,0.28355,5.794244,4.060469,3.886819,97427,17224.3,0.9284
depth16_v1,report.log,depth16_v1/report.log,False,final,183.29,16,16,3.430519,30.8927,63.256,5000,0.283375,5.701481,3.943765,3.793455,77150,17452.5,1.264
depth16_v1,report_cf.log,depth16_v1/report_cf.log,True,step-22889,183.29,16,16,3.608135,36.8972,81.6581,5000,0.285119,5.913576,4.197757,4.036087,59763,17452.5,0.8723
depth4,report.log,depth4/report.log,True,final,95.18,4,4,3.606584,36.84,44.897,5000,0.290825,5.894544,4.165592,4.075375,89898,16769.0,0.9301
depth8,report.log,depth8/report.log,False,final,124.55,8,8,3.473943,32.2637,39.9387,5000,0.28009,5.78242,3.986444,3.846818,79890,16970.3,0.9215
depth8,report_cf.log,depth8/report_cf.log,True,step-30519,124.55,8,8,3.509843,33.443,42.9054,5000,0.289016,5.778423,4.052096,3.919837,97153,16994.1,0.8619
init_deepnorm_v1,report.log,init_deepnorm_v1/report.log,True,final,109.86,6,6,3.498049,33.0509,39.266,5000,0.287332,5.769155,4.031999,3.903712,133270,16883.0,0.9618
init_he_v1,report.log,init_he_v1/report.log,True,final,109.86,6,6,3.539996,34.4668,42.2028,5000,0.281203,5.83,4.101801,3.946981,46266,16883.0,0.935
init_xavier_v1,report.log,init_xavier_v1/report.log,True,final,109.86,6,6,3.495186,32.9564,40.7534,5000,0.273233,5.752272,4.039658,3.915581,126260,16883.0,0.8904
resi_scaled_depth12_v1,report.log,resi_scaled_depth12_v1/report.log,False,final,153.92,12,12,3.424141,30.6963,33.2896,5000,0.276297,5.682916,3.95497,3.78238,36266,17224.3,0.9019
resi_scaled_depth12_v1,report_cf.log,resi_scaled_depth12_v1/report_cf.log,True,step-22889,153.92,12,12,3.587622,36.148,42.0796,5000,0.2925,5.882903,4.125293,4.049791,69045,17224.3,0.8523
resi_scaled_depth16_v1,report.log,resi_scaled_depth16_v1/report.log,False,final,183.29,16,16,3.382457,29.443,35.088,5000,0.277555,5.620336,3.881934,3.750003,63948,17452.5,0.9415
resi_scaled_depth16_v1,report_cf.log,resi_scaled_depth16_v1/report_cf.log,True,step-22889,183.29,16,16,3.563082,35.2718,44.8172,5000,0.284669,5.85171,4.122049,3.993902,58941,17452.5,0.7463
residual_depth_scaled_v1,report.log,residual_depth_scaled_v1/report.log,True,final,109.86,6,6,3.512768,33.541,38.4262,5000,0.288886,5.794821,4.05419,3.913176,83844,16883.0,0.9264
residual_fixed_v1,report.log,residual_fixed_v1/report.log,True,final,109.86,6,6,3.53159,34.1783,41.5393,5000,0.278889,5.805614,4.087803,3.954056,79223,16883.0,0.8739
residual_rezero_v1,report.log,residual_rezero_v1/report.log,True,final,109.86,6,6,3.692015,40.1256,61.1997,5000,0.291013,6.008062,4.304024,4.164962,137567,16883.1,1.0876
rope_depth16_v1,report.log,rope_depth16_v1/report.log,False,final,183.29,16,16,3.369097,29.0523,37.7062,5000,0.28196,5.59561,3.897562,3.701257,76118,17452.5,1.0471
rope_depth16_v1,report_cf.log,rope_depth16_v1/report_cf.log,True,step-22889,183.29,16,16,3.532923,34.2239,43.376,5000,0.281664,5.802005,4.098315,3.949709,79568,17452.5,0.9851
rope_swiglu_depth16_v1,report.log,rope_swiglu_depth16_v1/report.log,False,final,216.85,16,16,3.34352,28.3186,33.1887,5000,0.269639,5.588814,3.852396,3.663233,68638,17719.5,1.0162
rope_swiglu_depth16_v1,report_cf.log,rope_swiglu_depth16_v1/report_cf.log,True,step-15259,216.85,16,16,3.652929,38.5875,53.0488,5000,0.290644,5.959077,4.243367,4.118629,65141,17719.5,0.8377
rope_swiglu_v1,report.log,rope_swiglu_v1/report.log,False,final,122.44,6,6,3.427853,30.8104,37.0318,5000,0.280108,5.655167,3.943168,3.83297,73669,16983.0,1.0676
rope_swiglu_v1,report_cf.log,rope_swiglu_v1/report_cf.log,True,step-30519,122.44,6,6,3.466468,32.0235,39.7195,5000,0.272424,5.702043,4.035517,3.85589,75193,16983.0,0.9127
rope_v1,report.log,rope_v1/report.log,True,final,109.86,6,6,3.491723,32.8425,41.309,5000,0.282128,5.736748,4.041716,3.906301,122221,16883.0,0.9725
swiglu_depth12,report.log,swiglu_depth12/report.log,False,final,179.09,12,12,3.345975,28.3882,39.123,5000,0.276535,5.596244,3.819722,3.6914,50665,17400.5,
swiglu_depth12,report_cf.log,swiglu_depth12/report_cf.log,True,step-22889,179.09,12,12,3.496111,32.9869,48.5737,5000,0.280749,5.747386,4.02689,3.92942,86158,17424.3,0.9442
swiglu_depth16,report.log,swiglu_depth16/report.log,False,final,216.85,16,16,3.313331,27.4765,38.8906,5000,0.275021,5.56229,3.79075,3.625263,68095,17719.5,1.1548
swiglu_depth16,report_cf.log,swiglu_depth16/report_cf.log,True,step-15259,216.85,16,16,3.666904,39.1306,70.9366,5000,0.29163,5.992387,4.281372,4.102228,63989,17719.5,0.9645
swiglu_depth16_residual_depth,report.log,swiglu_depth16_residual_depth/report.log,False,final,216.85,16,16,3.314103,27.4977,30.5326,5000,0.275102,5.54619,3.786358,3.64876,52296,17719.5,0.9661
swiglu_depth16_residual_depth,report_cf.log,swiglu_depth16_residual_depth/report_cf.log,True,step-15259,216.85,16,16,3.647649,38.3843,48.2366,5000,0.287649,5.966067,4.223833,4.113045,54536,17719.5,0.7488
swiglu_depth16_residual_depth_deepnorm,report.log,swiglu_depth16_residual_depth_deepnorm/report.log,False,final,216.85,16,16,3.285978,26.7351,29.1598,5000,0.270517,5.494659,3.780583,3.598152,55342,17719.5,0.9628
